pos_x,pos_y,pos_z,b_x,b_y,b_z,b_total_strength
0.0,50.0,25.0,-5.804519193327408e-10,0.0,-5.288561931698304e-10,7.852472882545648e-10
0.1,50.0,25.0,-5.846345478389689e-10,0.0,-5.311335221273548e-10,7.898736436002184e-10
0.2,50.0,25.0,-5.888539976931982e-10,0.0,-5.33421316143284e-10,7.945359218533133e-10
0.30000000000000004,50.0,25.0,-5.931106480650941e-10,0.0,-5.357196016319319e-10,7.992344664870702e-10
0.4,50.0,25.0,-5.974048825470281e-10,0.0,-5.380284044358129e-10,8.039696248433613e-10
0.5,50.0,25.0,-6.017370892109696e-10,0.0,-5.403477498066181e-10,8.087417481824256e-10
0.6000000000000001,50.0,25.0,-6.061076606661632e-10,0.0,-5.426776623857421e-10,8.135511917332936e-10
0.7000000000000001,50.0,25.0,-6.10516994117611e-10,0.0,-5.450181661843532e-10,8.183983147449403e-10
0.8,50.0,25.0,-6.149654914253562e-10,0.0,-5.473692845629921e-10,8.23283480538163e-10
0.9,50.0,25.0,-6.194535591645956e-10,0.0,-5.497310402106951e-10,8.282070565582123e-10
1.0,50.0,25.0,-6.239816086866183e-10,0.0,-5.521034551236247e-10,8.331694144281727e-10
1.1,50.0,25.0,-6.285500561805953e-10,0.0,-5.54486550583201e-10,8.381709300031147e-10
1.2000000000000002,50.0,25.0,-6.331593227362242e-10,0.0,-5.568803471337217e-10,8.432119834250274e-10
1.3,50.0,25.0,-6.378098344072412e-10,0.0,-5.592848645594577e-10,8.482929591785396e-10
1.4000000000000001,50.0,25.0,-6.425020222758208e-10,0.0,-5.617001218612155e-10,8.534142461474519e-10
1.5,50.0,25.0,-6.47236322517866e-10,0.0,-5.64126137232353e-10,8.585762376720816e-10
1.6,50.0,25.0,-6.52013176469208e-10,0.0,-5.665629280342353e-10,8.637793316074382e-10
1.7000000000000002,50.0,25.0,-6.568330306927275e-10,0.0,-5.690105107711203e-10,8.690239303822448e-10
1.8,50.0,25.0,-6.616963370464087e-10,0.0,-5.714689010644604e-10,8.743104410588133e-10
1.9000000000000001,50.0,25.0,-6.666035527523432e-10,0.0,-5.739381136266084e-10,8.796392753937921e-10
2.0,50.0,25.0,-6.715551404666929e-10,0.0,-5.764181622339115e-10,8.850108498997962e-10
2.1,50.0,25.0,-6.765515683506314e-10,0.0,-5.789090596991825e-10,8.904255859079357e-10
2.2,50.0,25.0,-6.815933101422697e-10,0.0,-5.814108178435341e-10,8.958839096312553e-10
2.3000000000000003,50.0,25.0,-6.866808452295905e-10,0.0,-5.839234474675609e-10,9.013862522291019e-10
2.4000000000000004,50.0,25.0,-6.918146587243997e-10,0.0,-5.864469583218563e-10,9.069330498724339e-10
2.5,50.0,25.0,-6.969952415373051e-10,0.0,-5.889813590768456e-10,9.125247438100813e-10
2.6,50.0,25.0,-7.022230904537501e-10,0.0,-5.915266572919268e-10,9.181617804359842e-10
2.7,50.0,25.0,-7.074987082111052e-10,0.0,-5.940828593838976e-10,9.238446113574135e-10
2.8000000000000003,50.0,25.0,-7.128226035768382e-10,0.0,-5.966499705946544e-10,9.295736934641945e-10
2.9000000000000004,50.0,25.0,-7.181952914277783e-10,0.0,-5.992279949581494e-10,9.353494889989492e-10
3.0,50.0,25.0,-7.236172928304901e-10,0.0,-6.018169352665874e-10,9.41172465628375e-10
3.1,50.0,25.0,-7.290891351227683e-10,0.0,-6.044167930358429e-10,9.4704309651557e-10
3.2,50.0,25.0,-7.346113519962768e-10,0.0,-6.070275684700856e-10,9.529618603934272e-10
3.3000000000000003,50.0,25.0,-7.401844835803451e-10,0.0,-6.09649260425593e-10,9.589292416391184e-10
3.4000000000000004,50.0,25.0,-7.458090765269399e-10,0.0,-6.122818663737333e-10,9.649457303496756e-10
3.5,50.0,25.0,-7.514856840968201e-10,0.0,-6.149253823630968e-10,9.710118224186904e-10
3.6,50.0,25.0,-7.572148662469077e-10,0.0,-6.175798029807633e-10,9.771280196141552e-10
3.7,50.0,25.0,-7.629971897188812e-10,0.0,-6.202451213126811e-10,9.832948296574598e-10
3.8000000000000003,50.0,25.0,-7.688332281290063e-10,0.0,-6.229213289031377e-10,9.89512766303558e-10
3.9000000000000004,50.0,25.0,-7.747235620592366e-10,0.0,-6.256084157133062e-10,9.957823494223347e-10
4.0,50.0,25.0,-7.806687791495831e-10,0.0,-6.283063700788431e-10,1.00210410508118e-09
4.1000000000000005,50.0,25.0,-7.866694741917818e-10,0.0,-6.310151786665147e-10,1.008478565628793e-09
4.2,50.0,25.0,-7.927262492242832e-10,0.0,-6.337348264298388e-10,1.0149062697802484e-09
4.3,50.0,25.0,-7.988397136285627e-10,0.0,-6.36465296563707e-10,1.0213877627033192e-09
4.4,50.0,25.0,-8.050104842267948e-10,0.0,-6.392065704579778e-10,1.0279235961061058e-09
4.5,50.0,25.0,-8.112391853808931e-10,0.0,-6.419586276500081e-10,1.0345143283259718e-09
4.6000000000000005,50.0,25.0,-8.175264490929387e-10,0.0,-6.447214457761031e-10,1.041160524419812e-09
4.7,50.0,25.0,-8.238729151070271e-10,0.0,-6.474950005218626e-10,1.0478627562556832e-09
4.800000000000001,50.0,25.0,-8.302792310125367e-10,0.0,-6.50279265571392e-10,1.0546216026058058e-09
4.9,50.0,25.0,-8.367460523488536e-10,0.0,-6.530742125553624e-10,1.0614376492409703e-09
5.0,50.0,25.0,-8.432740427115683e-10,0.0,-6.558798109978863e-10,1.0683114890263677e-09
5.1000000000000005,50.0,25.0,-8.498638738601541e-10,0.0,-6.586960282621827e-10,1.0752437220188556e-09
5.2,50.0,25.0,-8.56516225827175e-10,0.0,-6.615228294950122e-10,1.0822349555657104e-09
5.300000000000001,50.0,25.0,-8.632317870290115e-10,0.0,-6.643601775698447e-10,1.0892858044048569e-09
5.4,50.0,25.0,-8.700112543781535e-10,0.0,-6.672080330287386e-10,1.0963968907666267e-09
5.5,50.0,25.0,-8.768553333970585e-10,0.0,-6.700663540228959e-10,1.1035688444770466e-09
5.6000000000000005,50.0,25.0,-8.837647383336267e-10,0.0,-6.729350962518749e-10,1.1108023030627115e-09
5.7,50.0,25.0,-8.907401922782769e-10,0.0,-6.758142129014149e-10,1.118097911857231e-09
5.800000000000001,50.0,25.0,-8.977824272826805e-10,0.0,-6.787036545798543e-10,1.1254563241093062e-09
5.9,50.0,25.0,-9.048921844801632e-10,0.0,-6.816033692531079e-10,1.132878201092452e-09
6.0,50.0,25.0,-9.120702142077844e-10,0.0,-6.845133021781652e-10,1.1403642122163822e-09
6.1000000000000005,50.0,25.0,-9.193172761301428e-10,0.0,-6.874333958350838e-10,1.1479150351401015e-09
6.2,50.0,25.0,-9.266341393649139e-10,0.0,-6.903635898574398e-10,1.1555313558867219e-09
6.300000000000001,50.0,25.0,-9.340215826101476e-10,0.0,-6.933038209612034e-10,1.1632138689600332e-09
6.4,50.0,25.0,-9.41480394273358e-10,0.0,-6.962540228720038e-10,1.1709632774628615e-09
6.5,50.0,25.0,-9.490113726024081e-10,0.0,-6.992141262507398e-10,1.1787802932172274e-09
6.6000000000000005,50.0,25.0,-9.566153258182499e-10,0.0,-7.021840586175171e-10,1.186665636886366e-09
6.7,50.0,25.0,-9.642930722495078e-10,0.0,-7.051637442738523e-10,1.1946200380986053e-09
6.800000000000001,50.0,25.0,-9.720454404689518e-10,0.0,-7.081531042231216e-10,1.2026442355731481e-09
6.9,50.0,25.0,-9.798732694318898e-10,0.0,-7.111520560892099e-10,1.2107389772478013e-09
7.0,50.0,25.0,-9.877774086164826e-10,0.0,-7.141605140333125e-10,1.218905020408653e-09
7.1000000000000005,50.0,25.0,-9.957587181660326e-10,0.0,-7.171783886688594e-10,1.2271431318217617e-09
7.2,50.0,25.0,-1.0038180690332567e-09,0.0,-7.202055869745147e-10,1.2354540878668707e-09
7.300000000000001,50.0,25.0,-1.011956343126581e-09,0.0,-7.232420122052054e-10,1.2438386746731897e-09
7.4,50.0,25.0,-1.0201744334584728e-09,0.0,-7.2628756380114e-10,1.2522976882572733e-09
7.5,50.0,25.0,-1.0284732442958474e-09,0.0,-7.293421372947673e-10,1.2608319346630322e-09
7.6000000000000005,50.0,25.0,-1.0368536913125695e-09,0.0,-7.324056242156335e-10,1.2694422301039118e-09
7.7,50.0,25.0,-1.0453167017440887e-09,0.0,-7.354779119930866e-10,1.2781294011072785e-09
7.800000000000001,50.0,25.0,-1.0538632145442174e-09,0.0,-7.385588838567804e-10,1.286894284661038e-09
7.9,50.0,25.0,-1.062494180544107e-09,0.0,-7.416484187349339e-10,1.2957377283625421e-09
8.0,50.0,25.0,-1.0712105626134208e-09,0.0,-7.447463911502829e-10,1.304660590569797e-09
8.1,50.0,25.0,-1.0800133358237587e-09,0.0,-7.478526711136874e-10,1.3136637405550327e-09
8.200000000000001,50.0,25.0,-1.0889034876143467e-09,0.0,-7.509671240153298e-10,1.3227480586606594e-09
8.3,50.0,25.0,-1.0978820179600287e-09,0.0,-7.540896105134567e-10,1.3319144364576583e-09
