pos_x,pos_y,pos_z,b_x_gt,b_y_gt,b_z_gt,b_total_strength_gt,throttle,roc_throttle,motor_noise_scalar_v4,b_motor_contrib_z_v4,b_x_noisy,b_y_noisy,b_z_noisy,b_total_strength_noisy
0.0,50.0,25.0,-5.804519193327408e-10,0.0,-5.288561931698304e-10,7.852472882545648e-10,0.75,0.0,1.0312500000000002e-05,1.0312500000000002e-05,4.66749437843253e-08,-1.0167715311366387e-07,1.0311364236306789e-05,1.0311971160143401e-05
0.1,50.0,25.0,-5.846345478389689e-10,0.0,-5.311335221273548e-10,7.898736436002184e-10,0.7531415099708382,0.0031415099708381744,1.037380878985583e-05,1.037380878985583e-05,3.497523450235316e-09,-9.577865126372993e-08,1.0372850581521561e-05,1.037329335212691e-05
0.2,50.0,25.0,-5.888539976931982e-10,0.0,-5.33421316143284e-10,7.945359218533133e-10,0.7562825238608344,0.0031410138899962137,1.0428923545874905e-05,1.0428923545874905e-05,2.9331064087007443e-08,1.0253043263190705e-07,1.0427876341337879e-05,1.0428421634704382e-05
0.30000000000000004,50.0,25.0,-5.931106480650941e-10,0.0,-5.357196016319319e-10,7.992344664870702e-10,0.7594225456674837,0.0031400218066492958,1.0484118514628543e-05,1.0484118514628543e-05,1.3072607765348242e-07,-8.817167875153734e-08,1.048244407339368e-05,1.0483629967913729e-05
0.4,50.0,25.0,-5.974048825470281e-10,0.0,-5.380284044358129e-10,8.039696248433613e-10,0.7625610795449423,0.00313853387745866,1.053938486338808e-05,1.053938486338808e-05,-1.1261434008280462e-07,-9.067268695765503e-09,1.0538303940781189e-05,1.0538909533402315e-05
0.5,50.0,25.0,-6.017370892109696e-10,0.0,-5.403477498066181e-10,8.087417481824256e-10,0.7656976298823284,0.0031365503373860237,1.0594713701535131e-05,1.0594713701535131e-05,3.0125714570981465e-08,1.1827820195310216e-07,1.0593549015233688e-05,1.0594252122254515e-05
0.6000000000000001,50.0,25.0,-6.061076606661632e-10,0.0,-5.426776623857421e-10,8.135511917332936e-10,0.7688317013819832,0.0031340714996548336,1.0650096082068718e-05,1.0650096082068718e-05,6.531328263680281e-08,3.882021314859391e-08,1.0649376808251023e-05,1.0649647845724873e-05
0.7000000000000001,50.0,25.0,-6.10516994117611e-10,0.0,-5.450181661843532e-10,8.183983147449403e-10,0.7719627991376858,0.0031310977557026387,1.070552300315072e-05,1.070552300315072e-05,-1.976740610276273e-08,2.0455339033286514e-09,1.0705069466506339e-05,1.0705087912636648e-05
0.8,50.0,25.0,-6.149654914253562e-10,0.0,-5.473692845629921e-10,8.23283480538163e-10,0.7750904287128038,0.0031276295751179184,1.0760985409689264e-05,1.0760985409689264e-05,-1.0078668300686887e-07,-2.7629767949674148e-08,1.076005591904886e-05,1.0760563402564333e-05
0.9,50.0,25.0,-6.194535591645956e-10,0.0,-5.497310402106951e-10,8.282070565582123e-10,0.7782140962183705,0.0031236675055666963,1.0816474194959714e-05,1.0816474194959714e-05,4.915656598695938e-08,1.5764547778788668e-08,1.0815942810567057e-05,1.0816066002498483e-05
