pos_x,pos_y,pos_z,b_x_gt,b_y_gt,b_z_gt,b_total_strength_gt,throttle,b_motor_x,b_motor_y,b_motor_z,b_x_noisy,b_y_noisy,b_z_noisy,b_total_strength_noisy
77.7,50.0,25.0,4.018794008568566e-09,0.0,-1.022962816669652e-09,4.1469456480155746e-09,0.6667951138692534,-0.0,-0.0,6.667951138692533e-06,-4.642702999800874e-08,8.097484117072303e-08,6.669502517329893e-06,6.670155637066263e-06
77.80000000000001,50.0,25.0,3.9774528158484855e-09,0.0,-1.0264435388237617e-09,4.107763045830917e-09,0.6638392692063706,-0.0,-0.0,6.638392692063707e-06,7.592446571457329e-08,2.594747153832902e-08,6.640103515780004e-06,6.640588264306653e-06
77.9,50.0,25.0,3.9365942591890324e-09,0.0,-1.0297227564000563e-09,4.069042063745246e-09,0.6608970303216873,-0.0,-0.0,6.608970303216874e-06,5.0539094778504716e-08,8.559924189000276e-09,6.610947806462418e-06,6.611146524784745e-06
78.0,50.0,25.0,3.896212447859768e-09,0.0,-1.0328055218929856e-09,4.030776436979611e-09,0.6579688618288306,-0.0,-0.0,6.579688618288308e-06,-1.723130570888292e-08,1.2467499781531054e-07,6.580650375041485e-06,6.5818538521840725e-06
78.10000000000001,50.0,25.0,3.856301556272026e-09,0.0,-1.0356967746346728e-09,3.992959992523681e-09,0.6550552261195497,-0.0,-0.0,6.550552261195498e-06,6.60508307097335e-08,-3.635713515737562e-08,6.552261536566882e-06,6.552695307817089e-06
78.2,50.0,25.0,3.816855823658785e-09,0.0,-1.0384013432308581e-09,3.955586647795954e-09,0.6521565832906995,-0.0,-0.0,6.521565832906996e-06,6.961059111266678e-08,-8.499464815880722e-08,6.522764262419964e-06,6.523689396937422e-06
78.30000000000001,50.0,25.0,3.77786955373732e-09,0.0,-1.0409239479473035e-09,3.9186504093202315e-09,0.6492733910715842,-0.0,-0.0,6.492733910715842e-06,-1.0308586526101375e-08,-5.977938995210041e-08,6.494554457488148e-06,6.4948377534545375e-06
78.4,50.0,25.0,3.7393371143558e-09,0.0,-1.0432692030475007e-09,3.882145371418506e-09,0.6464061047516786,-0.0,-0.0,6.464061047516785e-06,-2.9656849870846432e-08,-2.0824373860716452e-08,6.466050760164869e-06,6.4661523038295065e-06
78.5,50.0,25.0,3.7012529371245734e-09,0.0,-1.0454416190825542e-09,3.8460657149200184e-09,0.6435551771087321,-0.0,-0.0,6.435551771087322e-06,-2.4797677144547262e-08,-3.2637577527439963e-08,6.4374974073598046e-06,6.437627902109816e-06
78.60000000000001,50.0,25.0,3.663611517033243e-09,0.0,-1.047445605134075e-09,3.81040570588662e-09,0.6407210583372664,-0.0,-0.0,6.407210583372663e-06,1.774689877602697e-08,2.631436602144732e-09,6.409254922356783e-06,6.409280032626864e-06
78.7,50.0,25.0,3.62640741205438e-09,0.0,-1.049285471010918e-09,3.77515969435434e-09,0.6379041959774917,-0.0,-0.0,6.379041959774917e-06,7.279973760907864e-08,3.692307722000206e-08,6.380583577885301e-06,6.3811056964923355e-06
78.80000000000001,50.0,25.0,3.589635242734536e-09,0.0,-1.0509654294006126e-09,3.740322113090936e-09,0.6351050348446277,-0.0,-0.0,6.351050348446278e-06,-1.474665885157443e-07,6.453242995415307e-08,6.351041012887831e-06,6.353080573755345e-06
78.9,50.0,25.0,3.553289691773718e-09,0.0,-1.0524895979762826e-09,3.7058874763696807e-09,0.6323240169586666,-0.0,-0.0,6.323240169586666e-06,6.325629244800254e-09,1.7091492845918912e-08,6.325241562569564e-06,6.325267817062808e-06
79.0,50.0,25.0,3.51736550359374e-09,0.0,-1.0538620014598877e-09,3.6718503787589552e-09,0.6295615814745711,-0.0,-0.0,6.295615814745712e-06,5.1409752893507497e-08,-5.650070349441388e-08,6.297163379800221e-06,6.297626689800284e-06
79.10000000000001,50.0,25.0,3.4818574838964646e-09,0.0,-1.0550865736425787e-09,3.6382054939278315e-09,0.6268181646129268,-0.0,-0.0,6.26818164612927e-06,7.703215354434466e-08,1.150088534677483e-08,6.269704209324435e-06,6.270187963328051e-06
79.2,50.0,25.0,3.4467604992125315e-09,0.0,-1.056167159362964e-09,3.6049475734674218e-09,0.6240941995910596,-0.0,-0.0,6.2409419959105975e-06,-2.3383414338434037e-08,-6.98967338142332e-09,6.242875685216385e-06,6.242923390581216e-06
79.30000000000001,50.0,25.0,3.4120694764412957e-09,0.0,-1.0571075164440703e-09,3.5720714457279444e-09,0.6213901165546231,-0.0,-0.0,6.213901165546232e-06,4.794584061076257e-08,-2.5191942378426567e-08,6.215638235000032e-06,6.215874202876614e-06
79.4,50.0,25.0,3.3777794023826335e-09,0.0,-1.0579113175897723e-09,3.539572014671394e-09,0.6187063425096759,-0.0,-0.0,6.18706342509676e-06,-5.361793686822042e-08,5.2990528070932534e-08,6.1885616132617805e-06,6.18902074001667e-06
79.5,50.0,25.0,3.3438853232612323e-09,0.0,-1.0585821522414557e-09,3.5074442587396923e-09,0.6160433012552509,-0.0,-0.0,6.16043301255251e-06,6.570513645696597e-08,4.565060879172516e-08,6.161868588709569e-06,6.162387982557212e-06
79.60000000000001,50.0,25.0,3.3103823442440213e-09,0.0,-1.0591235283956703e-09,3.4756832297382675e-09,0.6134014133164325,-0.0,-0.0,6.134014133164326e-06,9.211816148658965e-09,8.023817828236589e-08,6.135422267004919e-06,6.135953831090208e-06
